version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Odonnell Elvis,Tran@domainname.onmicrosoft.com,PD1634529, No,Tamekah,Tran,Ground Systems Engineer,,,36375 North Lithuania St.,MX,,,Nashua,86950,719-469-7513,
Tran Tamekah,Carney@domainname.onmicrosoft.com,UH8298618, No,Cooper,Carney,Geophysicist,,,93084 North Mauritania Way,SG,,,Santa Clara,77842,151-480-0080,
Carney Cooper,Lara@domainname.onmicrosoft.com,VJ515749, No,Howard,Lara,Financial Manager,,,2386 North French Guiana Ct.,BE,,,Montebello,50546,424-205-5642,
Lara Howard,Wood@domainname.onmicrosoft.com,TL5865442, No,Haley,Wood,Chemical Engineer,,,74672 North Christmas Island Ct.,AT,,,Sugar Land,85056,308-129-5289,
Wood Haley,Bradley@domainname.onmicrosoft.com,GH6429395, No,Armand,Bradley,Senior Electrical Engineer,,,41126 North Burkina Faso Way,KZ,,,Kankakee,29414,773-720-1836,
Bradley Armand,Anderson@domainname.onmicrosoft.com,XE7344192, No,Owen,Anderson,Biological Engineer,,,99518  Evansville Blvd.,DO,,,Fredericksburg,7442,421-456-9234,
Anderson Owen,Lynn@domainname.onmicrosoft.com,NN1270015, No,Uriel,Lynn,Lead Shuttle Systems Inspector,,,26152 East Anguilla Ln.,MC,,,Portland,55544,920-157-1608,
Lynn Uriel,Burnett@domainname.onmicrosoft.com,FM193302, No,Anastasia,Burnett,Public Affairs Officer,,,65259 South United States Minor Outlying Islands Ct.,PT,,,Dodge City,98376,342-916-9294,
Burnett Anastasia,Hinton@domainname.onmicrosoft.com,LG5877880, No,Jacob,Hinton,Research Assistant ,,,3891 South Norway Ln.,BN,,,Asheville,8472,093-450-0089,
Hinton Jacob,Cummings@domainname.onmicrosoft.com,YD5230877, No,Nasim,Cummings,Advanced Projects Design Team Leader,,,"27332  Virgin Islands, British Blvd.",DK,,,Reno,82189,081-893-8562,
Cummings Nasim,Harrison@domainname.onmicrosoft.com,OH661357, No,Myles,Harrison,Business Officer,,,57487 North Belize St.,NO,,,Williston,40727,247-758-1276,
Harrison Myles,Griffith@domainname.onmicrosoft.com,LM6372077, No,Shelly,Griffith,Leader of the Test Engineering Group,,,93063 South Turks and Caicos Islands Ct.,MA,,,Florence,38218,630-649-4461,
Griffith Shelly,Finley@domainname.onmicrosoft.com,IE6281082, No,Raphael,Finley,Aerodynamics Engineer,,,99651 East Finland Ln.,UZ,,,New Iberia,90459,457-481-5613,
Finley Raphael,Kemp@domainname.onmicrosoft.com,KY4918125, No,Chaney,Kemp,Cognizant Engineer,,,55339 South Zimbabwe St.,GE,,,Norton,6111,833-879-1249,
Kemp Chaney,French@domainname.onmicrosoft.com,BG4530622, No,Nichole,French,Research Coordinator Fatigue Countermeasures Program,,,15110 North Canada Blvd.,DO,,,Dickinson,59208,440-406-3902,
French Nichole,Carpenter@domainname.onmicrosoft.com,OJ7638780, No,Aline,Carpenter,Payloads Engineer,,,79473 South Norfolk Blvd.,BN,,,Harrisburg,39022,493-809-7128,
Carpenter Aline,Mccoy@domainname.onmicrosoft.com,ZE3791245, No,Steven,Mccoy,Computer Scientist,,,50601 North Burundi Ct.,TH,,,Pine Bluff,24735,865-603-6822,
Mccoy Steven,Foreman@domainname.onmicrosoft.com,UJ4460686, No,Keely,Foreman,First American Woman to Walk in Space,,,1539 South Holy See (Vatican City State) Ln.,AE,,,Wisconsin Dells,86761,995-058-5168,
Foreman Keely,Gilbert@domainname.onmicrosoft.com,PE4373858, No,Debra,Gilbert,Data Management Team,,,94457 West Botswana Ct.,LY,,,Cambridge,2026,140-691-0971,
Gilbert Debra,Blackwell@domainname.onmicrosoft.com,WD7649896, No,Griffith,Blackwell,Aircraft Inspector,,,71012  Benin Ct.,YE,,,East Lansing,40185,706-967-9501,
Blackwell Griffith,Brown@domainname.onmicrosoft.com,QS3616229, No,Denton,Brown,Computational Fluid Dynamicist,,,27065  Serbia and Montenegro Ln.,TN,,,West Lafayette,54096,914-451-6902,
Brown Denton,Thornton@domainname.onmicrosoft.com,RE2611920, No,Quyn,Thornton,Observational Infrared Astronomer,,,95497 East Suriname Way,CL,,,Louisville,60387,377-717-0926,
Thornton Quyn,Weeks@domainname.onmicrosoft.com,ZB4514166, No,Barrett,Weeks,Daughter of Astronaut,,,9474 East Charlotte Ln.,DK,,,Aurora,33483,799-743-3659,
Weeks Barrett,Spencer@domainname.onmicrosoft.com,OH9324647, No,Griffith,Spencer,Technical Integration Engineer with Space Station,,,14577 North Greece Ln.,DE,,,Gaithersburg,27129,838-145-9489,
Spencer Griffith,Hinton@domainname.onmicrosoft.com,TD855819, No,Inez,Hinton,Manager Mars Sample Return Lander 2003 & 2005 ,,,34562 South Burkina Faso Ave.,AM,,,Athens,80238,027-447-5613,
Hinton Inez,Rush@domainname.onmicrosoft.com,EG3998267, No,Galvin,Rush,Division Chief,,,49328 South Corry Ave.,CL,,,Winnemucca,44411,200-983-4556,
Rush Galvin,Briggs@domainname.onmicrosoft.com,QD3354916, No,Cleo,Briggs,Operations Management,,,17759 South Dominican Republic Blvd.,EG,,,Pulaski,43200,983-279-4822,
Briggs Cleo,Navarro@domainname.onmicrosoft.com,TX5643061, No,Kalia,Navarro,Flight Service Station Briefer,,,6454 West Bowling Green St.,UY,,,Texarkana,32797,838-349-1073,
Navarro Kalia,Rivera@domainname.onmicrosoft.com,MB1799973, No,Kameko,Rivera,Chemical Engineer,,,36505 South Liechtenstein St.,AL,,,Montebello,67200,302-953-8305,
Rivera Kameko,Buckley@domainname.onmicrosoft.com,QL2517080, No,Shaine,Buckley,Instrumentation Technician,,,24954 West East St. Louis Ave.,AT,,,Half Moon Bay,86412,182-406-9218,
Buckley Shaine,Sellers@domainname.onmicrosoft.com,SJ7682369, No,Tiger,Sellers,Flight Manager,,,36729  China Ln.,DZ,,,Knoxville,16436,794-653-5321,
Sellers Tiger,Mccall@domainname.onmicrosoft.com,ZV7473414, No,Keane,Mccall,Lead Mechanical Engineer,,,19566 East Gloversville Ct.,FI,,,Saint Cloud,64735,500-745-9523,
Mccall Keane,Murphy@domainname.onmicrosoft.com,RE2449214, No,Patricia,Murphy,Aeronautical Engineer,,,28639 West Grand Junction St.,MC,,,Arcadia,68637,203-444-0220,
Murphy Patricia,Bonner@domainname.onmicrosoft.com,HU8001532, No,Fritz,Bonner,Shuttle and ISS Food Systems Manager,,,7385 North Ghana Ct.,LI,,,Fort Worth,26278,960-812-7462,
Bonner Fritz,Brown@domainname.onmicrosoft.com,IY1022254, No,Brody,Brown,Solar Physicist,,,61065 South Augusta Ave.,LY,,,Warwick,33509,535-746-8433,
Brown Brody,Guzman@domainname.onmicrosoft.com,MP1082794, No,Claire,Guzman,Electrical Engineer,,,41007 East Seychelles Blvd.,MA,,,Mankato,73935,583-635-7960,
Guzman Claire,Mccray@domainname.onmicrosoft.com,OG7143444, No,Laura,Mccray,Senior Instrumentation Engineer,,,3808 North Honduras Blvd.,FO,,,Peabody,30777,384-761-4415,
Mccray Laura,Quinn@domainname.onmicrosoft.com,TM1462419, No,Sylvester,Quinn,Flight Controller,,,4180  Dubuque Ln.,BY,,,Placentia,12785,154-113-7317,
Quinn Sylvester,Peck@domainname.onmicrosoft.com,FV5908165, No,Marah,Peck,Cognizant Engineer,,,54397 South Comoros St.,LB,,,Bristol,98847,112-437-5534,
Peck Marah,Luna@domainname.onmicrosoft.com,LI2274932, No,Chiquita,Luna,Aircraft Inspector,,,6041 West Jordan Ave.,KW,,,Cape Coral,6991,982-946-5590,
Luna Chiquita,Steele@domainname.onmicrosoft.com,LW272015, No,Adele,Steele,Test Director,,,17066 West Canada Ave.,KR,,,Minot,98913,388-098-2514,
Steele Adele,Houston@domainname.onmicrosoft.com,WH6636855, No,Scarlett,Houston,International Liaison Office Personnel,,,91974 South Culver City Way,BO,,,Webster Groves,58848,387-052-4540,
Houston Scarlett,Mcmahon@domainname.onmicrosoft.com,FV8941591, No,Alexander,Mcmahon,Astronomy Educator,,,85545  Malawi Ave.,PY,,,Appleton,50280,295-991-4727,
Mcmahon Alexander,Branch@domainname.onmicrosoft.com,SX4476235, No,Ignatius,Branch,Spacesuit Technician,,,73272 West Honduras Ln.,LB,,,Williston,49926,494-045-0360,
Branch Ignatius,Crosby@domainname.onmicrosoft.com,TJ9877333, No,Talon,Crosby,Flight Simulation Engineer ,,,94903 East Montserrat St.,SV,,,Monrovia,41366,745-159-6509,
Crosby Talon,Beasley@domainname.onmicrosoft.com,QY5315954, No,Ora,Beasley,Astronomer,,,55409  Grass Valley Blvd.,MK,,,South Gate,2771,386-380-2418,
Beasley Ora,Ryan@domainname.onmicrosoft.com,JR4124956, No,Germane,Ryan,Senior Scientist,,,74521 East Azusa Blvd.,PY,,,Atlantic City,26606,577-795-6808,
Ryan Germane,Wood@domainname.onmicrosoft.com,XE2991554, No,Haviva,Wood,HST Astronomers,,,63073 North Peru Ct.,GR,,,Anaconda,10643,569-075-9389,
Wood Haviva,Fisher@domainname.onmicrosoft.com,HF7697779, No,Louis,Fisher,University Program Specialist,,,39878  Azerbaijan Blvd.,QA,,,Cedarburg,34290,664-751-3199,
Fisher Louis,Randolph@domainname.onmicrosoft.com,CU3731805, No,Jasmine,Randolph,Engineering Manager,,,90413 North Lithuania Ct.,CS,,,Blythe,60067,781-684-5312,
Randolph Jasmine,Cleveland@domainname.onmicrosoft.com,KG1602875, No,Plato,Cleveland,Outreach specialist,,,29160 North Brazil Way,NO,,,Tyler,35059,030-626-6003,
Cleveland Plato,Woodard@domainname.onmicrosoft.com,DM8046526, No,Chantale,Woodard,First Female To Win Iditerod Race.,,,76315 South Ogden St.,CZ,,,New Iberia,31341,045-015-0218,
Woodard Chantale,Stafford@domainname.onmicrosoft.com,XW1605825, No,Matthew,Stafford,High School Student ,,,33670 East Philippines Way,AE,,,West Warwick,26158,857-744-9528,
Stafford Matthew,Pena@domainname.onmicrosoft.com,BS6818858, No,Erich,Pena,Business Officer,,,58103 West Comoros Ln.,GB,,,Oswego,89193,984-579-7770,
Pena Erich,Fischer@domainname.onmicrosoft.com,QS3870784, No,Kylan,Fischer,Astronauts,,,90777  Buena Park Way,UY,,,Kennewick,70937,747-719-0100,
Fischer Kylan,Fuller@domainname.onmicrosoft.com,ZK378116, No,Breanna,Fuller,Network Engineer,,,91624 North Benin Way,ZA,,,Santa Clarita,64895,005-904-4417,
Fuller Breanna,Camacho@domainname.onmicrosoft.com,NM1044692, No,Conan,Camacho,Science Planning Coordinator,,,83449 East Grand Forks Ave.,GT,,,Mechanicville,81547,013-515-9987,
Camacho Conan,Hubbard@domainname.onmicrosoft.com,ZP468804, No,Quintessa,Hubbard,Photopolarimeter Radiometer Science Coordinator,,,72863 South Argentina Ct.,SG,,,Aurora,86219,223-925-2242,
Hubbard Quintessa,Melton@domainname.onmicrosoft.com,HY6013675, No,Ivan,Melton,Design Lead,,,71287 East Barbados St.,IQ,,,Turlock,24154,487-393-1857,
Melton Ivan,Little@domainname.onmicrosoft.com,UJ3567275, No,Brandon,Little,Research Pilot,,,61620 North Luxembourg Ct.,MV,,,Fredericksburg,38987,803-776-0644,
Little Brandon,Johnson@domainname.onmicrosoft.com,VH6425470, No,Guinevere,Johnson,Center Controller,,,20874 West Armenia Ave.,GB,,,Easton,36947,916-195-9173,
Johnson Guinevere,Alford@domainname.onmicrosoft.com,RW2167503, No,Deanna,Alford,Data Systems Specialist,,,36030 North Australia Blvd.,DE,,,Fresno,71356,958-196-4800,
Alford Deanna,Dunn@domainname.onmicrosoft.com,VN8918269, No,Maris,Dunn,First Woman Shuttle Commander,,,71542 South Afghanistan St.,DK,,,Salem,841,224-704-6887,
Dunn Maris,Vasquez@domainname.onmicrosoft.com,QR2092330, No,Zelda,Vasquez,Medical Officer,,,34049 East Hanahan Way,HN,,,The Dalles,64502,412-709-3401,
Vasquez Zelda,Gordon@domainname.onmicrosoft.com,FM4245372, No,Davis,Gordon,Camera Control Electronics Designer,,,9062 West Sweden Blvd.,NI,,,Huntington Beach,25013,113-488-2423,
Gordon Davis,Ford@domainname.onmicrosoft.com,DV4649060, No,Sarah,Ford,Lead Shuttle Systems Inspector,,,8485 West Chile Ln.,NZ,,,Menomonee Falls,9920,264-743-8355,
Ford Sarah,Webster@domainname.onmicrosoft.com,MG1705638, No,Shelly,Webster,Operations Management,,,42587 East Afghanistan Blvd.,BY,,,Fort Wayne,77719,641-608-6295,
Webster Shelly,Case@domainname.onmicrosoft.com,ZA3393637, No,Cooper,Case,Information Technology Associate,,,86130 South Botswana Way,UA,,,Amesbury,91098,053-782-9847,
Case Cooper,Paul@domainname.onmicrosoft.com,RX7624232, No,Mariko,Paul,New Space Transportation Developer,,,35833 North American Samoa Ct.,PR,,,Eden Prairie,63660,481-265-8991,
Paul Mariko,Santiago@domainname.onmicrosoft.com,PH3421904, No,Zeph,Santiago,Thermal Protection System/Shuttle Upgrades specialist,,,89992 East Mauritius Ln.,ES,,,Irvine,27001,581-014-2163,
Santiago Zeph,Clements@domainname.onmicrosoft.com,TP7834291, No,Luke,Clements,Instrumentation Engineer,,,35395 East Mequon Ct.,NL,,,Terre Haute,58025,294-466-0684,
Clements Luke,Torres@domainname.onmicrosoft.com,AV2635227, No,Armando,Torres,Real-Time Operations Lead,,,4871 East Czech Republic Ave.,ID,,,Newport Beach,12099,112-794-5508,
Torres Armando,Mcleod@domainname.onmicrosoft.com,SA1551695, No,Summer,Mcleod,Orbiter Processor,,,42654 North Aruba Way,BH,,,Beverly,68839,432-239-3171,
Mcleod Summer,Townsend@domainname.onmicrosoft.com,WQ268734, No,Judith,Townsend,Deputy Chief Systems Division Mission Operations Directorate ,,,3659 North Lower Burrell Way,IT,,,Caguas,52229,923-561-0372,
Townsend Judith,Cunningham@domainname.onmicrosoft.com,UA3500242, No,Maggy,Cunningham,Experiment Integration Engineer,,,12241 East New Caledonia Blvd.,FR,,,Colorado Springs,60920,726-389-1292,
Cunningham Maggy,Mcgee@domainname.onmicrosoft.com,XC4392490, No,Wesley,Mcgee,Mars Atmosphere Interdisciplinary Scientist,,,75505 South Maldives Ct.,QA,,,Duncan,58809,520-847-0305,
Mcgee Wesley,Hines@domainname.onmicrosoft.com,JY5366199, No,Elijah,Hines,Environmental Specialist,,,"90664  Palestinian Territory, Occupied Ave.",PH,,,Jacksonville,79070,200-150-2080,
Hines Elijah,Delaney@domainname.onmicrosoft.com,IA5487580, No,Lenore,Delaney,Shuttle and ISS Food Systems Manager,,,9929 North Coral Springs St.,MN,,,Augusta,2419,981-763-8619,
Delaney Lenore,Cantu@domainname.onmicrosoft.com,AU4046930, No,Indigo,Cantu,Team Manager ISS Mission Evaluation,,,13754 East Agoura Hills St.,CS,,,Fargo,9236,045-100-4460,
Cantu Indigo,Guerrero@domainname.onmicrosoft.com,MU4837019, No,Felicia,Guerrero,Chief Financial Officer,,,14345 North Oneida Ave.,DK,,,Oklahoma City,19685,379-960-9796,
Guerrero Felicia,Odonnell@domainname.onmicrosoft.com,FQ8948414, No,Hollee,Odonnell,Magnetometer (MAG) Science Coordinator,,,"26934  Iran, Islamic Republic of St.",LB,,,Lansing,43083,902-156-5826,
Odonnell Hollee,Schmidt@domainname.onmicrosoft.com,NL7232578, No,Hedda,Schmidt,Air Traffic Control Analyst,,,9545  Benin Ct.,GR,,,Pittston,50375,215-892-1461,
Schmidt Hedda,Callahan@domainname.onmicrosoft.com,UE1213886, No,Iris,Callahan,Chief Telecommunications Engineer,,,87132 East Jamaica Ct.,JO,,,Azusa,95968,941-541-3059,
Callahan Iris,Gilbert@domainname.onmicrosoft.com,OJ6276090, No,Dieter,Gilbert,Mechanical Systems Engineer,,,89699 North Cyprus Ave.,LT,,,Davis,20989,280-173-9560,
Gilbert Dieter,Jacobson@domainname.onmicrosoft.com,KT5790893, No,Alika,Jacobson,High School Student ,,,43124 West British Indian Ocean Territory Blvd.,FO,,,Twin Falls,16920,109-521-7340,
Jacobson Alika,Merritt@domainname.onmicrosoft.com,PA6250152, No,Erich,Merritt,High Lift Research,,,87540 South Durham Ln.,AR,,,Bismarck,13636,323-879-1617,
Merritt Erich,Sheppard@domainname.onmicrosoft.com,OQ343404, No,Marshall,Sheppard,Life Sciences Outreach Office Personnel,,,"87244 North Virgin Islands, U.S. Way",JM,,,Appleton,69946,837-097-0595,
Sheppard Marshall,Abbott@domainname.onmicrosoft.com,OF4746375, No,Jermaine,Abbott,Head of Neuroscience Laboratories,,,26082 West American Samoa Ave.,DZ,,,Moreno Valley,17282,483-906-5861,
Abbott Jermaine,Beasley@domainname.onmicrosoft.com,MR1473790, No,Ignatius,Beasley,Chief of Biological & Chemical Analysis Laboratories,,,15545 North Hot Springs Ave.,IN,,,Charlotte,50845,708-249-9794,
Beasley Ignatius,Greer@domainname.onmicrosoft.com,SH6366365, No,Cleo,Greer,Thermal Protection System/Shuttle Upgrades specialist,,,45740 North Hazleton Ct.,JP,,,Beverly Hills,72550,168-189-8649,
Greer Cleo,Snow@domainname.onmicrosoft.com,IO9866578, No,Ira,Snow,Payload Mission Manager,,,96881 North Brazil Ct.,CL,,,Fitchburg,4446,540-941-1238,
Snow Ira,Cantu@domainname.onmicrosoft.com,XM2451324, No,Emery,Cantu,Experimental Psychologist,,,78003 South Svalbard and Jan Mayen Ct.,TR,,,Youngstown,42878,550-900-3989,
Cantu Emery,Bradley@domainname.onmicrosoft.com,JP2515798, No,Natalie,Bradley,Pharmacologist,,,18328  Guatemala Ct.,TW,,,Buena Park,43588,127-172-5453,
Bradley Natalie,Roman@domainname.onmicrosoft.com,EB259867, No,Anjolie,Roman,Lead Altimetry Analyst,,,23638 West Ireland Blvd.,VE,,,Dayton,60425,828-452-1548,
Roman Anjolie,Huber@domainname.onmicrosoft.com,HA434516, No,Victoria,Huber,Test Project Engineer,,,66476 North Guam Ct.,MY,,,Hanahan,85167,450-719-0188,
Huber Victoria,Norris@domainname.onmicrosoft.com,OJ2504817, No,Kibo,Norris,Physicist,,,"38784 West Virgin Islands, British Ct.",MC,,,Eugene,78495,839-625-3992,
Norris Kibo,Mccray@domainname.onmicrosoft.com,ML6472796, No,Donovan,Mccray,College Cooperative Education Student,,,67909 North Bhutan Ct.,IR,,,Syracuse,68284,542-602-3194,
Mccray Donovan,Pollard@domainname.onmicrosoft.com,WY3905890, No,Megan,Pollard,Mission Evaluation Room Manager,,,435 East Slovenia Ave.,TT,,,LaGrange,32381,182-145-3137,
Pollard Megan,Robinson@domainname.onmicrosoft.com,GU9928853, No,Asher,Robinson,Principal Investigator ,,,68430 South Merced Ct.,AZ,,,Brown Deer,35478,969-796-1162,
Robinson Asher,England@domainname.onmicrosoft.com,WP6899956, No,Ruth,England,Orbiter Processor,,,10257 West Ghana St.,LB,,,Dodge City,72063,667-052-7141,
England Ruth,Coleman@domainname.onmicrosoft.com,MB9656941, No,Miriam,Coleman,Astrobiologist,,,88812 South French Southern Territories Ave.,QA,,,Sierra Madre,79232,089-109-7854,
Coleman Miriam,Rocha@domainname.onmicrosoft.com,GW7360585, No,Simone,Rocha,Flight Systems and Servicing,,,83436 North Ukraine Ct.,MO,,,Hope,72908,549-971-6582,
Rocha Simone,Dennis@domainname.onmicrosoft.com,BS7370773, No,Ashton,Dennis,Graphics Communicator,,,89695 North Del Rio Blvd.,HK,,,Fitchburg,91032,985-525-0802,
Dennis Ashton,Cruz@domainname.onmicrosoft.com,AV7966078, No,Hillary,Cruz,Computational Fluid Dynamics Engineer,,,52116 South Anguilla Ct.,GT,,,Lowell,32534,770-476-7823,
Cruz Hillary,Rich@domainname.onmicrosoft.com,JX8763267, No,Adena,Rich,Professor of Psychology Ball State University ,,,45444 East Bahamas St.,CR,,,Austin,89173,969-168-4367,
Rich Adena,Lester@domainname.onmicrosoft.com,XX1919836, No,Wade,Lester,Experiment Integration Engineer,,,14665 East Equatorial Guinea St.,KG,,,Vergennes,71643,707-858-1178,
Lester Wade,Barnes@domainname.onmicrosoft.com,ZX66975, No,Wing,Barnes,Aerodynamics Engineer,,,53713 West Aberdeen Ln.,TR,,,Oshkosh,43041,984-874-8872,
Barnes Wing,Howell@domainname.onmicrosoft.com,US5039358, No,Chantale,Howell,Flight Equipment Engineering Technician,,,45793 South United States Blvd.,KR,,,Monongahela,75324,847-459-1918,
Howell Chantale,Barber@domainname.onmicrosoft.com,PT2510511, No,Hadley,Barber,HST Ground System Software Support,,,48829  Bangladesh Ct.,CR,,,Fairfax,92212,232-445-8006,
Barber Hadley,White@domainname.onmicrosoft.com,RO2348713, No,Chava,White,Science Education Coordinator ,,,39093  Darlington Ln.,RO,,,Spartanburg,6647,968-270-1002,
White Chava,Paul@domainname.onmicrosoft.com,OL9513641, No,Emerald,Paul,Senior Olympics And World Senior Games Competitor,,,94174 East Chicopee Ct.,FO,,,Lawton,59442,465-667-3088,
Paul Emerald,Sherman@domainname.onmicrosoft.com,FZ1859598, No,Nathan,Sherman,HST Instrument Scientists,,,72633 East Palau Way,TW,,,Rutland,80267,327-525-5576,
Sherman Nathan,Rowe@domainname.onmicrosoft.com,OU2135378, No,Micah,Rowe,Design Engineer ,,,22278 East Bolivia St.,ZW,,,Santa Barbara,90234,996-225-0718,
Rowe Micah,Spencer@domainname.onmicrosoft.com,BI1365936, No,Fredericka,Spencer,College Intern ,,,27620  Antigua and Barbuda Blvd.,UZ,,,New Kensington,49900,194-443-4659,
Spencer Fredericka,Meyers@domainname.onmicrosoft.com,IT4554486, No,Chester,Meyers,Materials Engineer,,,88229  Jefferson City Ave.,VE,,,Redlands,45378,955-036-6340,
Meyers Chester,Merrill@domainname.onmicrosoft.com,AV3061742, No,Candace,Merrill,First African-American Woman to Fly In Space,,,49837 South Argentina Way,JP,,,Monongahela,80571,709-407-3351,
Merrill Candace,Clark@domainname.onmicrosoft.com,QJ6380015, No,Chadwick,Clark,Icing Researcher,,,34320 North France Ave.,ZA,,,Tyler,33049,732-823-6546,
Clark Chadwick,Landry@domainname.onmicrosoft.com,CP1048521, No,Mercedes,Landry,Retired Software Group Leader ,,,86362 South Andorra Ct.,LI,,,Owensboro,67216,132-202-7668,
Landry Mercedes,Dotson@domainname.onmicrosoft.com,HC9143154, No,Hasad,Dotson,University Program Specialist,,,14779  China St.,RU,,,Cranston,40349,536-283-5312,
Dotson Hasad,Howell@domainname.onmicrosoft.com,KY7741303, No,Vanna,Howell,Public Affairs Officer,,,58549  Timor-leste Blvd.,KW,,,Jefferson City,83850,759-995-9054,
Howell Vanna,Flores@domainname.onmicrosoft.com,MD7265405, No,Cleo,Flores,Space Flight Technician,,,76558 East Brunei Darussalam Ln.,MY,,,Thousand Oaks,66526,799-607-3509,
Flores Cleo,Evans@domainname.onmicrosoft.com,BA7142388, No,Dean,Evans,Solar Physicist,,,96088  Bellingham Way,RO,,,San Francisco,45395,525-274-1382,
Evans Dean,Beach@domainname.onmicrosoft.com,CI7626973, No,Xantha,Beach,Professor Emerita Exercise Science and Physical Education ,,,58336  Switzerland Ct.,AE,,,Baton Rouge,97033,856-561-4077,
Beach Xantha,Brock@domainname.onmicrosoft.com,CY7133085, No,August,Brock,Payload Project Scientist,,,81695  Fiji Ln.,RU,,,Sharon,4028,244-145-3805,
Brock August,Nguyen@domainname.onmicrosoft.com,HT2566089, No,Adrian,Nguyen,Life Sciences Program Manager,,,61232 East Comoros Way,MK,,,Huntington Beach,26722,325-148-5787,
Nguyen Adrian,Caldwell@domainname.onmicrosoft.com,PP6994138, No,Simon,Caldwell,Environmental Protection Specialist ,,,82181 East Latvia Blvd.,EG,,,Sister Bay,51686,152-417-7727,
Caldwell Simon,Pruitt@domainname.onmicrosoft.com,BT4948967, No,Latifah,Pruitt,Electrical Operations Engineer,,,32792 East Austria Blvd.,PH,,,Middletown,24488,534-554-2792,
Pruitt Latifah,Chase@domainname.onmicrosoft.com,PK2633777, No,Mariko,Chase,Technical Writer ,,,88296 South Canada Ct.,UZ,,,Saint Louis,11182,708-207-5713,
Chase Mariko,Chandler@domainname.onmicrosoft.com,YW1900183, No,Leo,Chandler,Computer Programmer,,,33701 South Brazil Ct.,PH,,,Rolling Hills,20229,338-638-4036,
Chandler Leo,Carr@domainname.onmicrosoft.com,SS1739039, No,Axel,Carr,Neurobiologist ,,,96034 East Hawthorne Blvd.,MN,,,Fort Worth,87555,540-872-4483,
Carr Axel,Rollins@domainname.onmicrosoft.com,LO7583139, No,Trevor,Rollins,Mission Program Manager,,,50994 North Antigua and Barbuda St.,MK,,,Columbus,71832,155-107-1817,
Rollins Trevor,Morrison@domainname.onmicrosoft.com,AE1488533, No,Jin,Morrison,Flight Equipment Engineering Technician,,,68596 East Cayman Islands Way,MN,,,West Haven,56196,934-737-2837,
Morrison Jin,Hester@domainname.onmicrosoft.com,TR2140404, No,Quamar,Hester,Senior Mechanical Engineer,,,74373 West Centennial Blvd.,MN,,,Starkville,90158,306-716-0238,
Hester Quamar,Ayers@domainname.onmicrosoft.com,YU3266875, No,Edward,Ayers,Galileo Orbiter Engineering Deputy Team Chief,,,73944 West Georgia Ct.,PR,,,Cape Girardeau,27469,476-777-5035,
Ayers Edward,Mcdonald@domainname.onmicrosoft.com,PI8121744, No,Marvin,Mcdonald,Mission Operations,,,9350 East Atlanta Ave.,GB,,,Oro Valley,19305,642-078-0506,
Mcdonald Marvin,Beach@domainname.onmicrosoft.com,VT8732140, No,Brandon,Beach,Flight Software Engineer,,,62575 South Uganda Ct.,PL,,,Thiensville,10333,758-281-5453,
Beach Brandon,Downs@domainname.onmicrosoft.com,EQ8314858, No,Todd,Downs,Operations Servicing Mission,,,7087 West Bhutan Ln.,PA,,,Crown Point,4121,230-823-6375,
Downs Todd,Lloyd@domainname.onmicrosoft.com,YN8512219, No,Celeste,Lloyd,Engineering Assistant NASA's SHARP Program ,,,26912 East Greece Ct.,FR,,,Bozeman,93441,663-919-8582,
Lloyd Celeste,Burgess@domainname.onmicrosoft.com,AC6242854, No,Harrison,Burgess,Deputy Uplink Systems Engineer ,,,71972  Bermuda Blvd.,EE,,,Flint,39649,527-613-0432,
Burgess Harrison,Puckett@domainname.onmicrosoft.com,AZ3333388, No,Joan,Puckett,Launch Site Support Office Personnel,,,79557 South Philippines St.,DE,,,Duluth,77443,370-726-3661,
Puckett Joan,Nash@domainname.onmicrosoft.com,BO1799584, No,Nathaniel,Nash,High School Science Teacher ,,,19231 North Armenia Way,HN,,,York,62897,304-513-4358,
Nash Nathaniel,Norton@domainname.onmicrosoft.com,UU409601, No,Quynn,Norton,Sciences Requirements Manager,,,36785 North Paraguay St.,GB,,,Newark,34659,370-778-0680,
Norton Quynn,Johnston@domainname.onmicrosoft.com,CL8897451, No,Rajah,Johnston,Senior Scientist,,,40480 North Belize Way,CR,,,Fitchburg,85611,404-911-2569,
Johnston Rajah,Crawford@domainname.onmicrosoft.com,CW3940766, No,Ezekiel,Crawford,Electrician ,,,16595  Flagstaff Way,PH,,,Sheboygan,15345,835-549-1266,
Crawford Ezekiel,Good@domainname.onmicrosoft.com,YS7379553, No,Zane,Good,Congressional Staff Member ,,,39298 North Cocos (Keeling) Islands St.,TT,,,Butte,67967,504-396-3147,
Good Zane,Tyler@domainname.onmicrosoft.com,OJ9359479, No,Jerome,Tyler,Engineering Technician,,,56649 South Falls Church Ct.,JM,,,Hammond,76435,377-421-7866,
